channel,user,message,time
#GLOBAL,test_riccardo,test library,18:01:20
#GLOBAL,@GameServer,Purging stale game ai_7_game2,18:01:26
#GLOBAL,@GameServer,Purging stale game ai_7_game3#GLOBAL @GameServer Purging stale game web#GLOBAL @GameServer Purging stale game AI4._._.1#GLOBAL @GameServer Purging stale game aa#GLOBAL @GameServer Purging stale game test3,18:01:26
#GLOBAL,@GameServer,Purging stale game AI4._._._1,18:01:53
#GLOBAL,@GameServer,Purging stale game web1,18:01:56
#GLOBAL,@GameServer,Purging stale game ai_7_game4,18:02:26
#GLOBAL,@GameServer,Purging stale game aad,18:02:26
#GLOBAL,@GameServer,Purging stale game aac,18:02:49
#GLOBAL,@GameServer,Purging stale game TRAIN,18:03:00
#GLOBAL,@GameServer,Purging stale game ccc,18:03:50
#GLOBAL,@GameServer,Purging stale game ai_7_game6,18:03:50
#GLOBAL,@GameServer,Purging stale game web2,18:04:20
#GLOBAL,@GameServer,Purging stale game test5,18:04:25
#GLOBAL,@GameServer,Server heartbeat - I am alive!,18:04:28
#GLOBAL,@GameServer,Purging stale game ai_7_10,18:04:41
#GLOBAL,@GameServer,Purging stale game ai_7_11,18:05:46
#GLOBAL,@GameServer,Purging stale game AI4.._1,18:06:32
#GLOBAL,@GameServer,Purging stale game AI4.._2,18:06:48
#GLOBAL,@GameServer,Purging stale game prova,18:07:04
#GLOBAL,@GameServer,Purging stale game AI4.._.1,18:07:25
#GLOBAL,@GameServer,Purging stale game AI_uff,18:08:10
#GLOBAL,@GameServer,Purging stale game AI4.._..1,18:08:10
#GLOBAL,@GameServer,Purging stale game AI4.._...1,18:09:51
#GLOBAL,@GameServer,Purging stale game AI4.._...2#GLOBAL @GameServer Purging stale game AI_asd,18:09:51
#GLOBAL,@GameServer,Purging stale game AI_1,18:10:46
#GLOBAL,@GameServer,Purging stale game we1,18:11:38
#GLOBAL,@GameServer,Purging stale game ai9_20201202_175634,18:13:22
#GLOBAL,@GameServer,Purging stale game AI4.._._.1#GLOBAL @GameServer Purging stale game AI4.._._.2,18:13:22
#GLOBAL,@GameServer,Purging stale game we2,18:13:44
#GLOBAL,@GameServer,Server heartbeat - I am alive!,18:14:28
#GLOBAL,@GameServer,Purging stale game test,18:15:27
