channel,user,message,time
#GLOBAL,@GameServer,Purging stale game elfi,14:32:21
#GLOBAL,@GameServer,Purging stale game alibaba#GLOBAL @GameServer Purging stale game 882730,14:32:21
#GLOBAL,@GameServer,Purging stale game 792406,14:33:03
#GLOBAL,@GameServer,Purging stale game AI7-Game-53e58,14:34:55
#GLOBAL,@GameServer,Purging stale game AI7-Game-eda8c,14:34:55
#GLOBAL,@GameServer,Purging stale game 199385,14:37:09
#GLOBAL,@GameServer,Server heartbeat - I am alive!,14:39:25
#GLOBAL,@GameServer,Purging stale game 752853,14:40:06
#GLOBAL,@GameServer,Purging stale game AI7-Game-731ba#GLOBAL @GameServer Purging stale game 159011,14:40:06
#LEAGUE,@LeagueManager,SmartCUP2,14:40:23
#LEAGUE,@LeagueManager,SmartCUP2dryrun,14:40:46
#GLOBAL,@GameServer,Purging stale game testms,14:42:03
#GLOBAL,@GameServer,Purging stale game prova10,14:42:03
#GLOBAL,@GameServer,Purging stale game 856873,14:43:32
#GLOBAL,@GameServer,Purging stale game testms3,14:44:02
#GLOBAL,@GameServer,Purging stale game 267216,14:44:02
#GLOBAL,@GameServer,Purging stale game AI7-Game-57b76,14:44:51
#GLOBAL,@GameServer,Purging stale game 207550,14:45:40
#GLOBAL,@GameServer,Purging stale game AI7-Game-16aab,14:46:28
#GLOBAL,@GameServer,Purging stale game AI4_allenamento1,14:46:28
